project_name,token_symbol,circulating_supply,unlock_amount,unlock_percent,unlock_date
Metahorse Unity,MUNITY,1.45E+08,6600000,1.32,2026-03-26 23:24:00 UTC
TOPGOAL,GOAL,5.44E+08,11590000,1.16,2026-03-26 23:24:00 UTC
Sable Finance,SABLE,5170000,1600000,1.6,2026-03-26 23:24:00 UTC
Bowled.io,BWLD,42120000,8330000,1.67,2026-03-26 23:24:00 UTC
Axelar,AXL,1.12E+09,13510000,1.1,2026-03-26 23:24:00 UTC
Grafeté,GRFT,3.67E+08,19200000,1.92,2026-03-26 23:24:00 UTC
Bitlayer,BTR,3.45E+08,19220000,1.92,2026-03-27 09:24:00 UTC
Puffverse,PFVS,1.17E+08,18120000,1.81,2026-03-27 11:24:00 UTC
SUPERFORTUNE,GUA,1.25E+08,22110000,2.21,2026-03-27 15:24:00 UTC
Open Campus,EDU,8.31E+08,21020000,2.1,2026-03-27 23:24:00 UTC
BlueSale Finance,BLS,1550000,1.72E+14,1.72,2026-03-27 23:24:00 UTC
Renzo,REZ,6.75E+09,4.24E+08,4.24,2026-03-27 23:24:00 UTC
beoble,BBL,9.79E+08,10790000,1.08,2026-03-27 23:24:00 UTC
FLock.io,FLOCK,3.10E+08,23340000,2.33,2026-03-27 23:24:00 UTC
Altitude,ALTD,1600000,1300000,1.3,2026-03-27 23:24:00 UTC
